Initial,Final,Cost Function,Algorithm,Objective Found,Path Cost,Generated Nodes,Visited Nodes
"(12,25)","(17,19)",c3,DFS,True,1424,555,142
"(12,25)","(17,19)",c3,BFS,True,117,880,224
"(12,25)","(17,19)",c3,Dijkstra,True,113,426,201
"(12,25)","(17,19)",c4,DFS,True,1400,555,142
"(12,25)","(17,19)",c4,BFS,True,115,880,224
"(12,25)","(17,19)",c4,Dijkstra,True,91,442,210
"(30,8)","(29,20)",c1,DFS,True,330,108,34
"(30,8)","(29,20)",c1,BFS,True,130,690,180
"(30,8)","(29,20)",c1,Dijkstra,True,130,348,171
"(30,8)","(29,20)",c2,DFS,True,335,108,34
"(30,8)","(29,20)",c2,BFS,True,135,690,180
"(30,8)","(29,20)",c2,Dijkstra,True,135,252,124
"(30,8)","(29,20)",c3,DFS,True,331,108,34
"(30,8)","(29,20)",c3,BFS,True,133,690,180
"(30,8)","(29,20)",c3,Dijkstra,True,130,311,153
"(30,8)","(29,20)",c4,DFS,True,328,108,34
"(30,8)","(29,20)",c4,BFS,True,133,690,180
"(30,8)","(29,20)",c4,Dijkstra,True,125,415,204
"(0,5)","(18,11)",c1,DFS,True,5640,2195,565
"(0,5)","(18,11)",c1,BFS,True,240,1616,417
"(0,5)","(18,11)",c1,Dijkstra,True,240,849,423
"(0,5)","(18,11)",c2,DFS,True,5730,2195,565
"(0,5)","(18,11)",c2,BFS,True,330,1616,417
"(0,5)","(18,11)",c2,Dijkstra,True,330,932,468
"(0,5)","(18,11)",c3,DFS,True,5685,2195,565
"(0,5)","(18,11)",c3,BFS,True,279,1616,417
"(0,5)","(18,11)",c3,Dijkstra,True,267,882,441
"(0,5)","(18,11)",c4,DFS,True,5638,2195,565
"(0,5)","(18,11)",c4,BFS,True,231,1616,417
"(0,5)","(18,11)",c4,Dijkstra,True,202,788,393
"(10,17)","(2,13)",c1,DFS,True,2800,5565,1426
"(10,17)","(2,13)",c1,BFS,True,120,1068,269
"(10,17)","(2,13)",c1,Dijkstra,True,120,593,276
"(10,17)","(2,13)",c2,DFS,True,2850,5565,1426
"(10,17)","(2,13)",c2,BFS,True,160,1068,269
"(10,17)","(2,13)",c2,Dijkstra,True,160,721,339
"(10,17)","(2,13)",c3,DFS,True,2829,5565,1426
"(10,17)","(2,13)",c3,BFS,True,136,1068,269
"(10,17)","(2,13)",c3,Dijkstra,True,129,636,297
"(10,17)","(2,13)",c4,DFS,True,2794,5565,1426
"(10,17)","(2,13)",c4,BFS,True,116,1068,269
"(10,17)","(2,13)",c4,Dijkstra,True,96,541,252
"(27,14)","(1,9)",c1,DFS,True,8450,3680,951
"(27,14)","(1,9)",c1,BFS,True,310,3147,807
"(27,14)","(1,9)",c1,Dijkstra,True,310,1630,824
"(27,14)","(1,9)",c2,DFS,True,8590,3680,951
"(27,14)","(1,9)",c2,BFS,True,440,3147,807
"(27,14)","(1,9)",c2,Dijkstra,True,440,1689,856
"(27,14)","(1,9)",c3,DFS,True,8521,3680,951
"(27,14)","(1,9)",c3,BFS,True,371,3147,807
"(27,14)","(1,9)",c3,Dijkstra,True,358,1669,845
"(27,14)","(1,9)",c4,DFS,True,8452,3680,951
"(27,14)","(1,9)",c4,BFS,True,292,3147,807
"(27,14)","(1,9)",c4,Dijkstra,True,280,1681,850
"(18,24)","(19,7)",c1,DFS,True,300,119,31
"(18,24)","(19,7)",c1,BFS,True,180,1974,504
"(18,24)","(19,7)",c1,Dijkstra,True,180,976,480
"(18,24)","(19,7)",c2,DFS,True,305,119,31
"(18,24)","(19,7)",c2,BFS,True,185,1974,504
"(18,24)","(19,7)",c2,Dijkstra,True,185,747,358
"(18,24)","(19,7)",c3,DFS,True,303,119,31
"(18,24)","(19,7)",c3,BFS,True,183,1974,504
"(18,24)","(19,7)",c3,Dijkstra,True,180,913,446
"(18,24)","(19,7)",c4,DFS,True,297,119,31
"(18,24)","(19,7)",c4,BFS,True,183,1974,504
"(18,24)","(19,7)",c4,Dijkstra,True,175,1105,547
"(30,2)","(24,2)",c1,DFS,True,1860,709,189
"(30,2)","(24,2)",c1,BFS,True,60,109,31
"(30,2)","(24,2)",c1,Dijkstra,True,60,78,39
"(30,2)","(24,2)",c2,DFS,True,1890,709,189
"(30,2)","(24,2)",c2,BFS,True,90,109,31
"(30,2)","(24,2)",c2,Dijkstra,True,90,92,46
"(30,2)","(24,2)",c3,DFS,True,1875,709,189
"(30,2)","(24,2)",c3,BFS,True,69,109,31
"(30,2)","(24,2)",c3,Dijkstra,True,69,78,39
"(30,2)","(24,2)",c4,DFS,True,1865,709,189
"(30,2)","(24,2)",c4,BFS,True,63,109,31
"(30,2)","(24,2)",c4,Dijkstra,True,63,78,39
"(7,5)","(28,23)",c1,DFS,True,6530,2571,654
"(7,5)","(28,23)",c1,BFS,True,390,3528,909
"(7,5)","(28,23)",c1,Dijkstra,True,390,1783,914
"(7,5)","(28,23)",c2,DFS,True,6635,2571,654
"(7,5)","(28,23)",c2,BFS,True,495,3528,909
"(7,5)","(28,23)",c2,Dijkstra,True,495,1794,920
"(7,5)","(28,23)",c3,DFS,True,6584,2571,654
"(7,5)","(28,23)",c3,BFS,True,441,3528,909
"(7,5)","(28,23)",c3,Dijkstra,True,414,1789,917
"(7,5)","(28,23)",c4,DFS,True,6527,2571,654
"(7,5)","(28,23)",c4,BFS,True,377,3528,909
"(7,5)","(28,23)",c4,Dijkstra,True,335,1772,908
"(19,25)","(3,8)",c1,DFS,True,5250,4392,1130
"(19,25)","(3,8)",c1,BFS,True,330,3412,877
"(19,25)","(3,8)",c1,Dijkstra,True,330,1740,887
"(19,25)","(3,8)",c2,DFS,True,5340,4392,1130
"(19,25)","(3,8)",c2,BFS,True,410,3412,877
"(19,25)","(3,8)",c2,Dijkstra,True,410,1759,899
"(19,25)","(3,8)",c3,DFS,True,5295,4392,1130
"(19,25)","(3,8)",c3,BFS,True,366,3412,877
"(19,25)","(3,8)",c3,Dijkstra,True,346,1747,892
"(19,25)","(3,8)",c4,DFS,True,5252,4392,1130
"(19,25)","(3,8)",c4,BFS,True,314,3412,877
"(19,25)","(3,8)",c4,Dijkstra,True,279,1702,865
"(9,29)","(20,30)",c1,DFS,True,3120,1228,313
"(9,29)","(20,30)",c1,BFS,True,120,664,173
"(9,29)","(20,30)",c1,Dijkstra,True,120,354,172
"(9,29)","(20,30)",c2,DFS,True,3175,1228,313
"(9,29)","(20,30)",c2,BFS,True,175,664,173
"(9,29)","(20,30)",c2,Dijkstra,True,175,483,235
"(9,29)","(20,30)",c3,DFS,True,3145,1228,313
"(9,29)","(20,30)",c3,BFS,True,142,664,173
"(9,29)","(20,30)",c3,Dijkstra,True,139,406,198
"(9,29)","(20,30)",c4,DFS,True,3123,1228,313
"(9,29)","(20,30)",c4,BFS,True,104,664,173
"(9,29)","(20,30)",c4,Dijkstra,True,99,334,164
"(1,30)","(9,9)",c1,DFS,True,2690,1060,270
"(1,30)","(9,9)",c1,BFS,True,290,1880,486
"(1,30)","(9,9)",c1,Dijkstra,True,290,945,473
"(1,30)","(9,9)",c2,DFS,True,2730,1060,270
"(1,30)","(9,9)",c2,BFS,True,330,1880,486
"(1,30)","(9,9)",c2,Dijkstra,True,330,826,415
"(1,30)","(9,9)",c3,DFS,True,2712,1060,270
"(1,30)","(9,9)",c3,BFS,True,306,1880,486
"(1,30)","(9,9)",c3,Dijkstra,True,293,872,436
"(1,30)","(9,9)",c4,DFS,True,2693,1060,270
"(1,30)","(9,9)",c4,BFS,True,286,1880,486
"(1,30)","(9,9)",c4,Dijkstra,True,259,929,465
"(0,1)","(8,2)",c1,DFS,True,2490,951,250
"(0,1)","(8,2)",c1,BFS,True,90,202,56
"(0,1)","(8,2)",c1,Dijkstra,True,90,123,62
"(0,1)","(8,2)",c2,DFS,True,2530,951,250
"(0,1)","(8,2)",c2,BFS,True,130,202,56
"(0,1)","(8,2)",c2,Dijkstra,True,130,150,75
"(0,1)","(8,2)",c3,DFS,True,2510,951,250
"(0,1)","(8,2)",c3,BFS,True,106,202,56
"(0,1)","(8,2)",c3,Dijkstra,True,106,137,69
"(0,1)","(8,2)",c4,DFS,True,2496,951,250
"(0,1)","(8,2)",c4,BFS,True,86,202,56
"(0,1)","(8,2)",c4,Dijkstra,True,78,116,58
"(16,12)","(2,25)",c1,DFS,True,4590,4803,1234
"(16,12)","(2,25)",c1,BFS,True,270,3526,906
"(16,12)","(2,25)",c1,Dijkstra,True,270,1776,905
